School Code,District,School Name,# STUDENTS ENROLLED ,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
1890505,Milton,Milton High,233,0,233
1910025,Monson,Quarry Hill Community School,323,323,0
1910310,Monson,Granite Valley Middle,243,243,0
1910505,Monson,Monson High School,39,0,39
1970005,Nantucket,Nantucket Elementary,326,326,0
1970010,Nantucket,Cyrus Peirce,239,239,0
1970505,Nantucket,Nantucket High,17,0,17
1980005,Natick,Bennett-Hemenway,5,5,0
1980010,Natick,Brown,4,4,0
1980305,Natick,J F Kennedy Middle School,57,57,0
1980310,Natick,Wilson Middle,3,3,0
1980505,Natick,Natick High,192,0,192
1990035,Needham,Hillside Elementary,2,2,0
1990050,Needham,Newman Elementary,3,3,0
1990405,Needham,Pollard Middle,357,357,0
1990410,Needham,High Rock School,411,411,0
1990505,Needham,Needham High,134,0,134
2010078,New Bedford,Hayden/McFadden,2,2,0
2010095,New Bedford,Abraham Lincoln,1,1,0
2010405,New Bedford,Keith Middle School,10,10,0
2010410,New Bedford,Normandin Middle School,19,19,0
